1,Calla Lily
2,Cecilia
3,Dandelion Seed
4,Philanemo Mushroom
5,Small Lamp Grass
6,Valberry
7,Windwheel Aster
8,Wolfhook
9,Clearwater Jade
10,Cor Lapis
11,Glaze Lily
12,Jueyun Chili
13,Noctilucous Jade
14,Qingxin
15,Silk Flower
16,Starconch
17,Violetgrass
18,Amakumo Fruit
19,Crystal Marrow
20,Dendrobium
21,Fluorescent Fungus
22,Naku Weed
23,Onikabuto
24,Sakura Bloom
25,Sango Pearl
26,Sea Ganoderma
27,Henna Berry
28,Kalpalata Lotus
29,Mourning Flower
30,Nilotpala Lotus
31,Padisarah
32,Rukkhashava Mushrooms
33,Sand Grease Pupa
34,Scarab
35,Trishiraite
36,Beryl Conch
37,Lakelight Lily
38,Lumidouce Bell
39,Lumitoile
40,Rainbow Rose
41,Romaritime Flower
42,Spring of the First Dewdrop
43,Subdetection Unit
44,Brilliant Chrysanthemum
45,Glowing Hornshroom
46,Quenepa Berry
47,Saurian Claw Succulent
48,Sprayfeather Gill
49,Withering Purpurbloom
